1.Saya selalu merasa gelisah jika tidak bermain smartphone,2.Saya membawa Smartphone kemana saja ,3.  Saya tidak bisa seharipun tanpa smartphone,4. Saya lebih suka bermain smartphone daripada bermain dengan teman,5. Saya menngunakan smartphone untuk bermain game,6. Saya menngunakan smartphone untuk mengakses video porno,7.  Saya menggunakan smartphone untuk bermedia sosial,8. Saya selalu memfoto makanan sebelum memakan nya lalu di uploud ke media sosial,9. Saya tidak suka jika pemakaian smartphone dibatasi oleh orang tua saya,10. Saya selalu gelisah Ketika tidak bermain smartphone,11. Saya menyelesaikan masalah dengan kekerasan,12. Pada saat jam kosong saya selalu bermain smartphone,13. Saya menggunakan kata kotor untuk bahasa berkomunikasi dengan teman-teman ,14. Saya saat bermain smartphone saya tidak pedui lingkungan sekitar,"15.  Saya berkumpul dengan teman, masing-masing sibuk dengan smartphone  ",16. Saya lebih suka bermain smartphone daripada membaca buku,17. Saya menggunakan smartphone sebagai salah satu referensi dalam mengerjakan PR,18. Menurut saya bermain smartphone lebih menyenangkan daripada belajar,19.  Saya menggunakan smartphone sebagai media untuk bertukar informasi mengenai pelajaran ,20. Saya menggunakan smartphone sebagai media untuk melihat youtube yang berkaitan dengan mata pelajaran di sekolah,21. Saya menggunakan smartphone untuk media menanyakan hasil PR kepada teman,22. Saya menggunakan smartphone untuk dipasang aplikasi yang mendukung dalam pembelajaran,23.  Saya sering membaca novel/buku di smartphone ,24. Menurut saya mencari bahan pelajaran lebih menyenangkan melalui smartphone daripada mencari bahan dari buku pelajaran,25. Saya lebih senang mengerjakan tugas dengan aplikasi misalnya quissis dll. Daripada dengan mengerjakan ditulis dalam buku tulis,26. Saya berdiskusi dengan teman tentang pelajaran melalui smartphone,27. Saya mencari jawaban PR dari smarphone serta menulis ulang Kembali tanpa dipelajari,28. Saya lebih suka menonton youtube daripada menulis ,29. Saya melatih melatih public speaking saya melalui smartphone,30. Saya sering mengikuti trend yang sedang viral di media sosial 
Kadang-kadang,Kadang-kadang,Kadang-kadang,Tidak pernah,Sering,Tidak pernah,Sering,Tidak pernah,Kadang-kadang,Kadang-kadang,Tidak pernah,Kadang-kadang,Selalu,Tidak pernah,Kadang-kadang,Kadang-kadang,Selalu,Kadang-kadang,Sering,Selalu,Selalu,Sering,"aku baca komik/manga doang di hp tapi itu jarang"" sih.",Sering,Kadang-kadang,Sering,Tidak pernah,Kadang-kadang,Sering,Kadang-kadang
Tidak pernah,Sering,Kadang-kadang,Tidak pernah,Kadang-kadang,Tidak pernah,Selalu,Tidak pernah,Kadang-kadang,Tidak pernah,Tidak pernah,Tidak pernah,Kadang-kadang,Tidak pernah,Kadang-kadang,Kadang-kadang,Kadang-kadang,Tidak pernah,Sering,Kadang-kadang,Kadang-kadang,Selalu,Sering,Sering,Tidak pernah,Sering,Tidak pernah,Tidak pernah,Tidak pernah,Kadang-kadang
Kadang-kadang,Kadang-kadang,Kadang-kadang,Kadang-kadang,Sering,Tidak pernah,Selalu,Kadang-kadang,Tidak pernah,Kadang-kadang,Tidak pernah,Tidak pernah,Tidak pernah,Tidak pernah,Kadang-kadang,Kadang-kadang,Sering,Kadang-kadang,Selalu,Selalu,Selalu,Selalu,Sering,Kadang-kadang,Kadang-kadang,Kadang-kadang,Tidak pernah,Kadang-kadang,Tidak pernah,Kadang-kadang
Kadang-kadang,Sering,Kadang-kadang,Tidak pernah,Kadang-kadang,Tidak pernah,Sering,Kadang-kadang,Tidak pernah,Tidak pernah,Tidak pernah,Tidak pernah,Kadang-kadang,Tidak pernah,Sering,Kadang-kadang,Sering,Kadang-kadang,Sering,Tidak pernah,Sering,Sering,Kadang-kadang,Sering,Sering,Sering,Tidak pernah,Sering,Kadang-kadang,Kadang-kadang
Kadang-kadang,Kadang-kadang,Sering,Kadang-kadang,Sering,Tidak pernah,Sering,Kadang-kadang,Kadang-kadang,Kadang-kadang,Kadang-kadang,Kadang-kadang,Kadang-kadang,Kadang-kadang,Kadang-kadang,Kadang-kadang,Kadang-kadang,Kadang-kadang,Kadang-kadang,Kadang-kadang,Kadang-kadang,Kadang-kadang,Kadang-kadang,Sering,Kadang-kadang,Sering,Kadang-kadang,Sering,Saya tidak ikut serta dalam public speaking,Sering
Tidak pernah,Kadang-kadang,Kadang-kadang,Tidak pernah,Selalu,Tidak pernah,Selalu,Kadang-kadang,Tidak pernah,Tidak pernah,Tidak pernah,Kadang-kadang,Kadang-kadang,Tidak pernah,Kadang-kadang,Kadang-kadang,Selalu,Kadang-kadang,Sering,Sering,Selalu,Kadang-kadang,Sering,Kadang-kadang,Tidak pernah,Kadang-kadang,Kadang-kadang,Kadang-kadang,Selalu,Kadang-kadang
Tidak pernah,Kadang-kadang,Kadang-kadang,Tidak pernah,Sering,Tidak pernah,Sering,Tidak pernah,Kadang-kadang,Tidak pernah,Tidak pernah,Sering,Kadang-kadang,Tidak pernah,Tidak pernah,Kadang-kadang,Sering,Tidak pernah,Kadang-kadang,Sering,Kadang-kadang,Kadang-kadang,Kadang-kadang,Sering,Tidak pernah,Kadang-kadang,Kadang-kadang,Kadang-kadang,Tidak pernah,Tidak pernah
Tidak pernah,Selalu,Kadang-kadang,Tidak pernah,Tidak pernah,Tidak pernah,Selalu,Sering,Tidak pernah,Tidak pernah,Tidak pernah,Kadang-kadang,Kadang-kadang,Tidak pernah,Kadang-kadang,Tidak pernah,Kadang-kadang,Tidak pernah,Sering,Sering,Kadang-kadang,Sering,Selalu,Kadang-kadang,Kadang-kadang,Sering,Tidak pernah,Tidak pernah,Kadang-kadang,Sering
Kadang-kadang,Kadang-kadang,Kadang-kadang,Kadang-kadang,Kadang-kadang,Tidak pernah,Kadang-kadang,Sering,Sering,Kadang-kadang,Tidak pernah,Kadang-kadang,Kadang-kadang,Tidak pernah,Kadang-kadang,Kadang-kadang,Kadang-kadang,Tidak pernah,Sering,Selalu,Sering,Sering,Kadang-kadang,Kadang-kadang,Kadang-kadang,Kadang-kadang,Kadang-kadang,Kadang-kadang,Kadang-kadang,Kadang-kadang
Tidak pernah,Sering,Kadang-kadang,Kadang-kadang,Kadang-kadang,Tidak pernah,Selalu,Kadang-kadang,Kadang-kadang,Kadang-kadang,Tidak pernah,Sering,Kadang-kadang,Tidak pernah,Kadang-kadang,Kadang-kadang,Selalu,Kadang-kadang,Selalu,Selalu,Kadang-kadang,Selalu,Selalu,Sering,Sering,Sering,Kadang-kadang,Kadang-kadang,Selalu,Selalu
